id,fecha_informe,fecha_inicio_campo,fecha_fin_campo,presidente,encuestadora,producto,aprueba_pct,desaprueba_pct,nr_pct,n_muestra,aprueba_gob_pct,desaprueba_gob_pct,nr_gob_pct,neto_gob,modalidad,n_informe,excluir,url_fuente
32,12-07-2018,11-07-2018,12-07-2018,Sebastián Piñera,Cadem,Plaza Pública,54.0,30.0,16.0,704,,,,,online,235,0,https://insight-chile.cl/storage/2018/07/Track-PP-Sem-2-Jul-N%C2%BA-235-1.pdf
33,17-07-2018,,17-07-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,52.0,41.0,7.0,,,,,,presencial,Enero 2052,0,https://www.emol.com/noticias/Nacional/2018/08/03/915664/Presidente-Pinera-mantiene-aprobacion-ciudadana-en-52-segun-ultima-encuesta-Adimark.html
34,19-07-2018,18-07-2018,19-07-2018,Sebastián Piñera,Cadem,Plaza Pública,54.0,33.0,13.0,702,,,,,online,236,0,https://insight-chile.cl/storage/2018/07/Track-PP-236-Jul-S3-VF.pdf
35,26-07-2018,25-07-2018,26-07-2018,Sebastián Piñera,Cadem,Plaza Pública,49.0,37.0,14.0,705,,,,,online,237,0,https://insight-chile.cl/storage/2018/07/Track-PP-Jul-Sem4-N237-VF.pdf
36,27-07-2018,07-07-2018,27-07-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,52,41,5,1100,,,,,online,Diciembre 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_indicador_aprobacion_gobierno_julio_2018.pdf
37,30-07-2018,25-07-2018,30-07-2018,Sebastián Piñera,Criteria,Agenda Criteria,49,41,10,800,,,,,online,Julio 2018,0,https://web.archive.org/web/20190421235340/https://www.criteria.cl/wp-content/uploads/2018/08/Agenda-Julio2018.pdf
38,02-08-2018,01-08-2018,02-08-2018,Sebastián Piñera,Cadem,Plaza Pública,45.0,39.0,16.0,705,,,,,online,238,0,https://insight-chile.cl/storage/2018/08/Track-PP-Jul-Sem1-N238-VF.pdf
39,09-08-2018,08-08-2018,09-08-2018,Sebastián Piñera,Cadem,Plaza Pública,45.0,40.0,15.0,707,,,,,online,239,0,https://insight-chile.cl/storage/2018/08/Track-PP-239-Ago-Sem2-VF.pdf
40,16-08-2018,15-08-2018,16-08-2018,Sebastián Piñera,Cadem,Plaza Pública,45.0,39.0,16.0,706,,,,,online,240,0,https://insight-chile.cl/storage/2018/08/Track-PP-240-Ago-Sem-3-VF-1.pdf
41,17-08-2018,,17-08-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,48.0,47.0,5.0,,,,,,presencial,Citado en CNN Chile (17-08-2018),0,https://www.cnnchile.com/pais/encuesta-adimark-agosto-aprobacion-gobierno-pinera_20180831/
42,23-08-2018,22-08-2018,23-08-2018,Sebastián Piñera,Cadem,Plaza Pública,47.0,37.0,16.0,715,,,,,online,241,0,https://insight-chile.cl/storage/2018/08/Track-PP-241-Ago-Sem-4-VF.pdf
43,29-08-2018,06-08-2018,29-08-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,48,47,3,1096,,,,,online,Agosto 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_gobierno_agosto_2018.pdf
44,30-08-2018,29-08-2018,30-08-2018,Sebastián Piñera,Cadem,Plaza Pública,47.0,42.0,11.0,711,,,,,online,242,0,http://web.archive.org/web/20191203151111/https://www.cadem.cl/wp-content/uploads/2018/09/Track-PP-242-Ago-Sem-5-VF-1.pdf
45,31-08-2018,23-08-2018,31-08-2018,Sebastián Piñera,Criteria,Agenda Criteria,49,40,11,800,,,,,online,Agosto 2018,0,https://web.archive.org/web/20211105184358/https://www.criteria.cl/wp-content/uploads/2019/05/Agenda-Agosto2018.pdf
46,06-09-2018,05-09-2018,06-09-2018,Sebastián Piñera,Cadem,Plaza Pública,42.0,44.0,14.0,712,,,,,online,243,0,https://insight-chile.cl/storage/2018/09/Track-PP-243-Septiembre-S5-VF.pdf
47,13-09-2018,12-09-2018,13-09-2018,Sebastián Piñera,Cadem,Plaza Pública,43.0,44.0,13.0,707,,,,,online,244,0,https://insight-chile.cl/storage/2018/09/Track-PP-244-Septiembre-S2-VF.pdf
48,16-09-2018,,16-09-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,45.0,47.0,8.0,,,,,,presencial,Citado en El Mostrador (16-09-2018),0,https://www.elmostrador.cl/noticias/pais/2018/09/28/septiembre-le-pasa-la-cuenta-a-pinera-y-anota-su-peor-registro-segun-la-encuesta-adimark/
49,20-09-2018,20-09-2018,20-09-2018,Sebastián Piñera,Cadem,Plaza Pública,45.0,41.0,14.0,710,,,,,online,245,0,https://insight-chile.cl/storage/2018/09/Track-PP-245-Septiembre-S3-VF.pdf
50,27-09-2018,26-09-2018,27-09-2018,Sebastián Piñera,Cadem,Plaza Pública,48.0,37.0,15.0,708,,,,,online,246,0,https://insight-chile.cl/storage/2018/10/Track-PP-246-Septiembre-S4-VF.pdf
51,27-09-2018,05-09-2018,27-09-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,45,47,6,997,,,,,online,Septiembre 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_gobierno_septiembre_2018.pdf
52,02-10-2018,21-09-2018,02-10-2018,Sebastián Piñera,Criteria,Agenda Criteria,54.0,35.0,11.0,752,,,,,online,Septiembre 2018,0,https://web.archive.org/web/20211105163828/https://www.criteria.cl/wp-content/uploads/2019/05/Agenda-Septiembre2018.pdf
53,04-10-2018,03-10-2018,04-10-2018,Sebastián Piñera,Cadem,Plaza Pública,51.0,34.0,15.0,707,,,,,online,247,0,https://insight-chile.cl/storage/2018/10/Track-PP-247-Octubre-S1-VF.pdf
54,11-10-2018,10-10-2018,11-10-2018,Sebastián Piñera,Cadem,Plaza Pública,51.0,35.0,14.0,706,,,,,online,248,0,https://insight-chile.cl/storage/2018/10/Track-PP-248-Octubre-S2-VF.pdf
55,16-10-2018,,16-10-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,48.0,47,5,,,,,,presencial,Citado en La Tercera (16-10-2018),0,https://www.latercera.com/politica/noticia/adimark-aprobacion-pinera-se-mantiene-pese-fallo-favorable-la-haya/383198/
56,18-10-2018,17-10-2018,18-10-2018,Sebastián Piñera,Cadem,Plaza Pública,50.0,38.0,12.0,706,,,,,online,249,0,https://insight-chile.cl/storage/2018/10/Track-PP-249-Octubre-S3-VF.pdf
57,25-10-2018,24-10-2018,25-10-2018,Sebastián Piñera,Cadem,Plaza Pública,46.0,41.0,13.0,706,,,,,online,250,0,http://web.archive.org/web/20200707082813/https://www.cadem.cl/wp-content/uploads/2018/10/Track-PP-250-Octubre-S4-VF.pdf
58,29-10-2018,04-10-2018,29-10-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,48,46,4,1100,,,,,online,Diciembre 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_indicador_aprobacion_de_gobierno_octubre_2018.pdf
59,30-10-2018,30-10-2018,30-10-2018,Sebastián Piñera,Cadem,Plaza Pública,48.0,37.0,15.0,711,,,,,online,251,0,https://insight-chile.cl/storage/2018/11/Track-PP-251-Octubre-S5-VF-2.pdf
60,03-11-2018,25-10-2018,03-11-2018,Sebastián Piñera,Criteria,Agenda Criteria,43.0,44.0,13.0,800,,,,,online,Octubre 2018,0,https://web.archive.org/web/20211105163843/https://www.criteria.cl/wp-content/uploads/2019/05/AG-Octubre-2018.pdf
61,08-11-2018,07-11-2018,08-11-2018,Sebastián Piñera,Cadem,Plaza Pública,44.0,40.0,16.0,707,,,,,online,252,0,http://web.archive.org/web/20200707140003/https://www.cadem.cl/wp-content/uploads/2018/11/Track-PP-252-Octubre-S1-VF.pdf
62,15-11-2018,14-11-2018,15-11-2018,Sebastián Piñera,Cadem,Plaza Pública,41.0,44.0,15.0,706,,,,,online,253,0,https://insight-chile.cl/storage/2018/11/Track-PP-253-Noviembre-S2-VF.pdf
63,17-11-2018,,17-11-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,44.0,49.0,7.0,,,,,,presencial,Citado en La Tercera (17-11-2018),0,https://www.latercera.com/politica/noticia/adimark-pinera-termina-primer-ano-gobierno-52-desaprobacion/468842/
